ra,dec,insmag_V,insmagerr_V,g,dg,r,dr,i,di,field,utdate,filename,zpt,zpterr
244.50993,-0.05181,-11.389,0.03,18.8968,0.0086,17.6996,0.003,17.109,0.0011,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.44075,-0.04919,-13.928,0.01,16.2827,0.0025,15.2466,0.0039,14.8247,0.001,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.60557,-0.05219,-10.151,0.04,19.8032,0.0089,19.4897,0.0061,19.3428,0.0081,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.57895,-0.05033,-11.146,0.027,18.7698,0.0058,18.4756,0.0045,18.3492,0.0039,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.56794,-0.0489,-13.134,0.01,16.9597,0.0029,16.3354,0.0027,16.1073,0.0018,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.63954,-0.04808,-11.267,0.017,18.9827,0.0054,17.9859,0.0026,17.5644,0.0029,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.48275,-0.04751,-11.265,0.019,19.0469,0.0078,17.8272,0.0033,16.7302,0.0019,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.53454,-0.04758,-11.123,0.037,18.876,0.0054,18.3901,0.0038,18.1907,0.0039,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.61855,-0.04669,-11.381,0.016,18.9787,0.009,17.7332,0.0045,17.0289,0.0022,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.48791,-0.04654,-10.853,0.023,19.0847,0.0083,18.7742,0.0029,18.6713,0.0038,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.53883,-0.04678,-9.543,0.078,20.5698,0.0217,20.0898,0.0179,19.9345,0.0108,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.45653,-0.04487,-10.995,0.023,18.9947,0.006,18.5735,0.0035,18.428,0.0054,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.45698,-0.043,-10.475,0.049,19.5844,0.0116,18.9628,0.0046,18.7081,0.0042,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.5703,-0.04356,-13.03,0.01,16.9485,0.002,16.5609,0.0019,16.3843,0.0018,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
