ra,dec,insmag_B,insmagerr_B,g,dg,r,dr,i,di,field,utdate,filename,zpt,zpterr
244.61854,-0.09958,-8.793,0.059,19.9239,0.01,18.757,0.0056,18.1045,0.0028,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.66624,-0.09816,-11.782,0.016,17.274,0.0028,16.9045,0.0023,16.7505,0.0026,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.52027,-0.09753,-10.378,0.02,18.4263,0.0036,17.4294,0.0024,17.0184,0.0024,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.51316,-0.09741,-10.326,0.02,18.5547,0.0074,17.9069,0.0025,17.6501,0.0031,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.45117,-0.09535,-12.479,0.017,16.3513,0.0019,15.6332,0.0015,15.3253,0.0012,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.43832,-0.0935,-13.26,0.017,15.7777,0.0012,15.3928,0.0012,15.2394,0.001,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.6542,-0.09644,-9.509,0.034,19.1914,0.0095,18.0915,0.0026,17.5855,0.0039,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.61348,-0.09527,-10.76,0.017,18.2512,0.0042,17.7763,0.0052,17.5805,0.0027,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.64623,-0.09204,-12.595,0.015,16.273,0.005,15.4374,0.0021,15.1028,0.0017,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.57133,-0.09273,-8.61,0.06,20.3262,0.0153,19.8205,0.0065,19.58,0.0088,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.51037,-0.0908,-11.194,0.016,17.7294,0.0031,17.2016,0.0022,16.9729,0.0028,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.63982,-0.09153,-9.627,0.027,19.4446,0.0136,19.1075,0.0054,18.9892,0.0062,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.55146,-0.08885,-12.954,0.014,15.9607,0.0048,15.3034,0.0015,15.0813,0.0011,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.63692,-0.08886,-12.261,0.014,16.7242,0.0039,16.2103,0.0017,15.9852,0.0022,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.47225,-0.09038,-9.527,0.032,19.5878,0.0091,19.2954,0.0081,19.1803,0.0055,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.59996,-0.08811,-13.096,0.014,15.9138,0.0034,15.4404,0.003,15.2628,0.0012,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.55786,-0.08906,-9.697,0.027,19.3952,0.0075,19.0718,0.0061,18.9274,0.0087,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.5218,-0.08895,-9.172,0.046,19.693,0.0108,18.7011,0.0052,18.2788,0.0035,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.61561,-0.08909,-8.872,0.051,20.2171,0.0087,19.7262,0.0097,19.5384,0.0081,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.51045,-0.08556,-13.577,0.014,15.3456,0.0016,14.756,0.0014,14.5203,0.003,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.65957,-0.08863,-9.099,0.048,19.9128,0.0094,19.3499,0.0069,19.0951,0.0053,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
244.43668,-0.08541,-12.344,0.016,16.6195,0.0029,16.1525,0.0009,15.9852,0.0016,ss_sf1615_001a,ut180523,outputcat_dao_ss_sf1615_001a.B.ut180523.0904_f_1_.dat,29.355416526366334,0.011
